Doctor Id,Name,Contact No,Email,Position,Started At,Specialty
60056518,Dr. Beth Thompson,623-895-7403,,Chief of Surgery,"Dec 26, 1988",General Surgery
39411157,Dr. Ann Stevens,,astevens@hospital.org,,1985-05-18,Internal Medicine
62342472,Dr. Taylor Young,922-979-2798,tyoung@hospital.org,,1986-01-06,General Surgery
64555512,Dr. Cathy Collins,202-699-5076,ccollins@hospital.org,,1993-01-25,Internal Medicine
40410056,Dr. Justin Hinton,488-767-5456,jhinton@hospital.org,Medical Director,2004-12-11,Internal Medicine
21172764,Dr. Ellen Nelson,910-736-6486,enelson@hospital.org,Chief of Surgery,1998-04-13,General Surgery
92392177,Dr. Stephanie Campos,990-509-2553,,Chief of Surgery,1998-02-13,General Surgery
19538924,Dr. Kelli Smith,227-305-5725,ksmith@hospital.org,Resident,2015.06.07,Internal Medicine Resident
34232655,Dr. Jeremy Bennett,936-450-7566,jbennett@hospital.org,Medical Director,1994-12-21,Internal Medicine
23278549,Dr. David Allen,791-572-6011,dallen@hospital.org,Medical Director,2003-09-26,Internal Medicine
52939530,Dr. Deborah Church,692-484-7392,dchurch@hospital.org,Attending Physician,2010-06-06,Internal Medicine
50150107,Dr. Meghan Miller,,mmiller@hospital.org,,04/19/1997,General Surgery
62573072,Dr. Luke Singh,,lsingh@hospital.org,Medical Director,1994-06-14,Internal Medicine
75122171,Dr. Cathy Shaw,371-831-3711,cshaw@hospital.org,Attending Physician,2008-01-18,Internal Medicine
62196394,Dr. Lawrence Herman,986-703-7724,lherman@hospital.org,Attending Physician,2006-10-11,Internal Medicine
77206675,Dr. Samuel Mason,365-791-7742,,Residen?t,2019-08-06,Internal Medicine Resident
18082101,Dr. Jonathan Zuniga,839-847-9825,jzuniga@hospital.org,Medical Director,1999-04-28,Internal Medicine
84175013,Dr. Kelly Davis,233-367-5773,kdavis@hospital.org,Attending Physician,2013-08-06,Internal Medicine
3145965,Dr. Mark Castillo,215-443-6657,mcastillo@hospital.org,,15-02-2021,Pulmonary Fellow
65097676,Dr. Dustin Rogers,391-931-6026,drogers@hospital.org,Medical Director,2002-10-24,Internal Medicine
3651043,Dr. Nathan Barton,978-912-3661,nbarton@hospital.org,Medical Direct`[?or,2000-11-11,Internal Medicine
58632312,Dr. Tasha Lee,477-610-4177,tlee@hospital.org,Chief of Surgery,1997-05-23,General Surgery
9059996,Dr. Emily Chavez,218-935-5235,echavez@hospital.org,Chief of Surgery,1990-02-10,General Surgery
29406995,Dr. Seth Carey,553-875-6472,scarey@hospital.org,Chief of Surgery,2004.06.06,General Surgery
88297745,Dr. Tiffany Wright,915-558-8501,twright@hospital.org,Resident,2019-06-28,Pediatrics Resident
45245328,Dr. Kara Webb,533-361-5699,,Medical Director,1989-05-17,Internal Medicine
52209712,Dr. Robert Hines,,rhines@hospital.org,,2008-03-23,Internal Medicine
43664005,Dr. Michelle Estes,334-708-8823,mestes@hospital.org,Attending Physician,2014-06-03,Internal Medicine
21270550,Dr. Benjamin Mitchell,240-799-2251,bmitchell@hospital.org,Fellow,2020-05-06,Oncology Fellow
92040993,Dr. Victoria Lee,719-806-5771,vlee@hospital.org,Medical Director,1998.04.14,Internal Medicine
83947330,Dr. Warren Romero,378-668-6891,wromero@hospital.org,Chief of Surgery,1991-12-20,General Surgery
2798384,Dr. Heather Davis,843-949-5581,,Medical D^irector,"Mar 27, 2004",Internal Medicine
81281955,Dr. Dana Lawrence,326-244-7881,,Medi(cal Director,2003-10-20,Internal Medicine
60935813,Dr. Gabriel Thompson,754-549-4350,gthompson@hospital.org,Medical Director,1997-03-18,Internal Medicine
88482276,Dr. Bill Floyd,539-947-4465,bfloyd@hospital.org,Chief of Surgery,2004-08-15,General Surgery
83922623,Dr. Jenna White,983-807-6941,jwhite@hospital.org,Resident,2018-08-16,Internal Medicine Resident
61784917,Dr. Carlos Duncan,,cduncan@hospital.org,Attending Physician,2011-11-17,Internal Medicine
14306407,Dr. Amanda Hall,566-476-5603,ahall@hospital.org,Attending Physician,2006-04-06,Internal Medicine
41189744,Dr. Jacob Rodriguez,781-479-3088,jrodriguez@hospital.org,Chief of Surgery,1990-10-31,General Surgery
